Title,Short Intro,URL,Category,Sub-Category,Skills,Rating,Number of viewers,Duration,Level,preference,skill_vector,popularity,Cluster
Financial Management Specialization,Become a Strategic Financial Manager . Develop an integrated financial management framework.,https://www.coursera.org/specializations/financial-management,Business,Finance,"Financial Mismanagement, Financial Management, Risk Management, Investment, Financial Aid Management, Financial Accounting, Accounting, Accrual, Financial Statement, Cash Flow, Cash Flow Statement, Stock, ",4.7,4366,5376,2,"business, finance","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0002625741,3
Game Design: Art and Concepts Specialization,Create Imaginative Games. Design a video game for independent distribution in just four courses.,https://www.coursera.org/specializations/game-design,Arts and Humanities,Music and Art,"Interactive Storytelling, Game Design Document, Video Game Design, Game Design, Video Game Development, Gameplay, Level Design, Art, ",4.7,2310,4032,2,"arts and humanities, music and art","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]",0.0001389249,3
Neuroscience and Neuroimaging Specialization,"Familiarize yourself with fundamental concepts in neuroscience, like Functional Magnetic Resonance Imaging (fMRI), neurohacking (in R), and neuroimaging.",https://www.coursera.org/specializations/computational-neuroscience,Data Science,Data Analysis,"Experiment, Neuroscience, R Programming, Image Processing, Statistics, Statistical Analysis, Statistical Model, Preprocessor, Brain, Neurology, ",4.7,764,2688,2,"data science, data analysis","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]",4.59475e-05,0
Electronic Music Production Specialization,Create Musical Compositions With Your Computer. Learn the tools and techniques to create professional sounding music.,https://www.coursera.org/specializations/electronic-music-production,Arts and Humanities,Music and Art,"Audio Production, Audio Recording, Music, Sound Design, Audio Editing, Music Making, File Management, Ableton, MIDI programming, Create an electronic composition, Create custom synthesizer patches, Manipulate preset patches, ",4.8,493,3360,2,"arts and humanities, music and art","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]",2.96493e-05,3
Branding: The Creative Journey Specialization,"Begin your Career as a Branding Specialist. Master branding strategies, branded content generation, image creation and customer experience",https://www.coursera.org/specializations/branding-the-creative-journey,Business,Business Strategy,"Creativity, Journalism, Branding, Communication, CX, Advertising, Logo, Brand, Brand Identity, Employment, Leadership, Management, ",4.6,897,3360,2,"business, business strategy","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]",5.39462e-05,3
Six Sigma Green Belt Specialization,Improve Your Career With Advanced Six Sigma. Dive deeper into proven principles and tools to improve quality assurance in your organization,https://www.coursera.org/specializations/six-sigma-green-belt,Business,Business Essentials,"Lean Six Sigma, Process Improvement, Six Sigma Green Belt, Six Sigma, Process Capability, ",4.7,3495,3360,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",0.0002101916,3
Excel/VBA for Creative Problem Solving Specialization,Optimize Your Excel Spreadsheets With VBA. Learn how to automate your Excel spreadsheets with Visual Basic for Applications,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,Computer Science,Design and Product,"Microsoft Excel Vba, Computer Programming, Problem Solving, Arrays, Debugging, ",4.8,3552,2688,2,"computer science, design and product","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]",0.0002136196,2
Business Statistics and Analysis Specialization,Build Data Analysis and Business Modeling Skills. Gain the ability to apply statistics and data analysis tools to various business applications.,https://www.coursera.org/specializations/business-statistics-analysis,Data Science,Probability and Statistics,"Microsoft Excel, Linear Regression, Statistical Hypothesis Testing, Lookup Table, Data Analysis, Pivot Table, Statistics, Statistical Analysis, Normal Distribution, Poisson Distribution, Log–Log Plot, Interaction (Statistics), ",4.7,7080,3360,2,"data science, probability and statistics","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1]",0.0004257958,0
People and Soft Skills for Professional and Personal Success Specialization,Develop key power skills to boost your work life. Master powerful people and soft skills for achieving professional success.,https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success,Personal Development,Personal Development,"Presentation Skills, Communication Skills, Professional Development, People Skills, Soft skills, teamwork, Listening Skills, Communication, Critical Thinking, Creative Skills, Powerpoint Skills, Agility, ",4.7,146,1344,2,"personal development, personal development","[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",8.7805e-06,3
"Songwriting: Writing, Arranging, and Producing Music Specialization","Write, Arrange, and Produce Your Original Songs. Apply the tools and techniques of songwriting to bring your musical ideas to life.",https://www.coursera.org/specializations/songwriting,Arts and Humanities,Music and Art,"Music, arranging, Producing, Songwriting, Music recording, Poetry, Melodic Hooks, Melody, Harmony, Writing, Audio Recording, Music Making, ",4.8,163,2688,2,"arts and humanities, music and art","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]",9.8029e-06,3
Culture-Driven Team Building Specialization,"Culture-Driven Team Building. Master strategies and tools that will enable you to more effectively form, join, and lead teams",https://www.coursera.org/specializations/team-building,Business,Business Essentials,"Team dynamics, Team Building, Collaboration, Intercultural Communication, Organizational Anthropology, Cultural Learning, Leadership, Organizational Culture, Emotional Intelligence, Team Management, ",4.6,617,4032,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",3.71068e-05,3
Investment Management Specialization,Make Smart Investment Decisions in a Global World. Learn how a wealth-generating investment portfolio functions in practice. ,https://www.coursera.org/specializations/investment-management,Business,Finance,"Investment Management, Risk Management, Financial Markets, Finance, Bond Market, Interest Rate, Stock, Portfolio Construction, Investment Style, Cognitive Bias, Investment, Portfolio Theories, ",4.8,5813,3360,2,"business, finance","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0003495976,3
Object Oriented Programming in Java Specialization,Grow Your Portfolio as a Software Engineer. Learn about Object Oriented Design in four project-based courses.,https://www.coursera.org/specializations/object-oriented-programming,Computer Science,Software Development,"Data Structure, Hash Table, Java Programming, Object-Oriented Programming (OOP), Algorithms, Problem Solving, String (Computer Science), Cryptography, Logic Programming, Sorting Algorithm, Trees (Data Structures), Linked List, ",4.6,3723,3360,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0002239037,2
Fundamentals of Accounting  Specialization,Accounting Basics for Managers and Entrepreneurs. Apply principles that underlie financial statements and facilitate business decisions and goals.,https://www.coursera.org/specializations/accounting-fundamentals,Business,Business Essentials,"Income Statement, Cost, Financial Statement, Balance Sheet, Accounting, Accounting Terminology, Financial Ratio, ",4.6,970,4032,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",5.83364e-05,3
Databases for Data Scientists Specialization,"All about Databases for Data Scientists. Learn to design and create efficient and effective relational databases, fill them with data, and work with them using SQL.",https://www.coursera.org/specializations/databases-for-data-scientists,Information Technology,Data Management,"Database (DB) Design, Data Warehousing, NoSQL, database administration, SQL, Database (DBMS), Relational Models, Normalization, Entity–Relationship (E-R) Model, Data Science, Database Application, SQL (Structured Query Language), ",4.7,259,2688,2,"information technology, data management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.55764e-05,3
PostgreSQL for Everybody Specialization,"SQL: From Basic to Advanced. Learn SQL skills you can use in an actual, real-world environment",https://www.coursera.org/specializations/postgresql-for-everybody,Computer Science,Mobile and Web Development,"Json, Database (DBMS), Natural Language Processing, SQL, ",4.7,803,2688,2,"computer science, mobile and web development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",4.82929e-05,2
Medical Terminology Specialization,"Develop your skills in medical terminology. Identify word parts (prefixes, suffixes, and roots) and abbreviations commonly used in the medical field, read and understand health records, and identify terms associated with all 10 major organ systems.",https://www.coursera.org/specializations/medicalterminology,Health,Basic Science,"Communication, Medical language, Health records, human anatomy, ",4.9,243,2016,2,"health, basic science","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.46142e-05,3
Advanced Data Science with IBM Specialization,"Expert in Data Science, Machine Learning and AI. Become an IBM-approved Expert in Data Science, Machine Learning and Artificial Intelligence.",https://www.coursera.org/specializations/advanced-data-science-ibm,Data Science,Machine Learning,"Data Science, Internet Of Things (IOT), Deep Learning, Apache Spark, Statistics, Machine Learning, Long Short-Term Memory (ISTM), ",4.4,2335,2688,2,"data science, machine learning","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1]",0.0001404284,0
Probabilistic Graphical Models  Specialization,Probabilistic Graphical Models. Master a new way of reasoning and learning in complex domains,https://www.coursera.org/specializations/probabilistic-graphical-models,Data Science,Machine Learning,"Inference, Bayesian Network, Belief Propagation, Graphical Model, Markov Random Field, Gibbs Sampling, Markov Chain Monte Carlo (MCMC), Algorithms, Expectation–Maximization (EM) Algorithm, ",4.6,1250,2688,2,"data science, machine learning","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1]",7.51758e-05,0
FPGA Design for Embedded Systems Specialization,Decode the Secrets of the FPGA in Embedded Systems. Enhance career opportunities and build better systems by acquiring skill in FPGA design.,https://www.coursera.org/specializations/fpga-design,Physical Science and Engineering,Electrical Engineering,"Softcore Processor Design, Writing Code in Verilog, Programmable Logic Design, VHDL Coding, Simulation for Verification, Primality Test, Verilog, Digital Design, Static Timing Analysis, Simulating FPGA Designs, Designing FPGA Logic, Designing Test Benches, ",4.5,475,2688,2,"physical science and engineering, electrical engineering","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]",2.85668e-05,3
School Health for Children and Adolescents Specialization,"Promoting Healthy Practices in School. Learn to manage medical conditions & mental health services, facilitate healthy practices in schools",https://www.coursera.org/specializations/school-health-for-children-and-adolescents,Health,Patient Care,"Behavioral Health, School Health, Learning Disabilities, Medical Conditions, Nutrition, ",4.8,1307,2688,2,"health, patient care","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",7.86038e-05,3
Statistical Analysis with R for Public Health Specialization,Master Statistics for Public Health and Learn R. Develop your statistical thinking skills and learn key data analysis methods through R,https://www.coursera.org/specializations/statistical-analysis-r-public-health,Health,Public Health,"Statistical Thinking, Survival Analysis, Logistic Regression, Data analysis with R, Linear Regression, Run basic analyses in R, R Programming, Understand common data distributions and types of variables, Formulate a scientific hypothesis, Correlation And Dependence, Understand common ways to choose what predictors go into a regression model, Run and interpret Kaplan-Meier curves in R, ",4.7,1528,2688,2,"health, public health","[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",9.18949e-05,3
Music Business  Specialization,"Launch Your Career in the Music Business. Success Begins with Creativity & Fundamentals in Entrepreneurship, Law, and Music Business Structure",https://www.coursera.org/specializations/music-business,Business,Leadership and Management,"Copyright, Music, Social Media, Business, Entrepreneurship, Music business, Revenue streams, Teambuilding, Contracts, Marketing, Crowdfunding, Networking, ",4.8,1351,3360,2,"business, leadership and management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]",8.125e-05,3
Healthcare IT Support Specialization,Launch Your Career in Healthcare IT Support. Get a behind-the-scenes glimpse into the growing field of Healthcare IT support!,https://www.coursera.org/specializations/healthcare-it,Health,Health Informatics,"Technical Support, Customer Support, Health Information Technology, Telemedicine, Electronic Health Records, ",4.8,702,2688,2,"health, health informatics","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",4.22187e-05,3
Practical Guide to Trading Specialization,"Understand the interconnectedness of the global capital markets with a practical emphasis on trading. By the end of this specialization, the interweaving of several capital markets will be apparent to students keen to learn about its mechanics, as well as those investors whose strengths are limited to their existing trading knowledge. ",https://www.coursera.org/specializations/financial-instruments-trading-investing,Business,Finance,"Fundamental Analysis, World Markets, Futures, Equities, Options Strategies, Sectors, Mutual Funds, Stocks, Business Cycle, FX Case Study, FX Trading, currency pairs, ",4.4,338,2688,2,"business, finance","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",2.03275e-05,3
Introduction to Logic and Critical Thinking Specialization,Think Again:  How to Reason and Argue. Learn how to recognize and make well reasoned arguments. ,https://www.coursera.org/specializations/logic-critical-thinking-duke,Arts and Humanities,Philosophy,"logic, Critical Thinking, reason, Evaluation, Interpretation, Language, Linguistics, ",4.6,485,2688,2,"arts and humanities, philosophy","[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]",2.91682e-05,3
Blockchain Specialization,Innovate with the Next Frontier in Technology. Learn how the blockchain is leading to a paradigm shift in decentralized application programming,https://www.coursera.org/specializations/blockchain,Computer Science,Software Development,"Smart Contract, Ethereum, Blockchains, Solidity, Cryptography, Bitcoin, Cryptocurrency, Blockchain, Remix IDE, MetaMask client, Decentralized Applications, Truffle IDE, ",4.6,6541,2688,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.00039338,2
Software Design and Architecture Specialization,Mindful Strategies for Quality Software. Think like an expert architect and create quality software using design patterns and principles.,https://www.coursera.org/specializations/software-design-architecture,Computer Science,Software Development,"Software Architecture, Java, Software Design Pattern, Object-Oriented Programming (OOP), Object-Oriented Design, Object-Oriented Analysis And Design, Unified Modeling Language (UML), Web Service, Microservices, Representational State Transfer (REST), Service-Oriented Architecture, ",4.6,2473,2688,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0001487278,2
Climate Change and Sustainable Investing Specialization,"Study the economics and finance of climate change. With this specialization, learners will gain a basic understanding of the science of climate change, which  is a fundamental requirement for a good understanding of the pros and cons of different climate policies as well as a good understanding of the  impact of climate change on companies and investment portfolios.",https://www.coursera.org/specializations/climatechangeandsustainableinvesting,Business,Finance,"Understand the various policy approaches involved in the transition to a low carbon economy including in particular ""cap & trade"" carbon markets, Learn to assess how climate change impacts financial portfolios and and how to manage climate risk in equity portfolios, Understand how climate change risks impact corporate decisions and company value, Understand the instruments investment funds and solutions used to finance clean technologies and clean energy, Understanding the evidence for climate change and for its anthropogenic origin, Understand the likely impacts on the real economy of the different courses of actions ahead of us, Evaluate projects on a portfolio basis the economic attractiveness of various abatement projects, Assess critically the economic desirability of different technologically feasible abatement technologies, Understand how climate change risk exposure affects corporate decisions and value, Map the financial risks and opportunities of climate change, Understand the instruments investment funds and solutions to finance clean technologies and clean energy, Assess how climate change impacts financial intermediaries and systemic risks, ",4.7,186,3360,2,"business, finance","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.11862e-05,3
Functional Programming in Scala Specialization,Program on a Higher Level. Write elegant functional code to analyze data that's big or small,https://www.coursera.org/specializations/scala,Computer Science,Software Development,"Scala Programming, Parallel Computing, Apache Spark, Functional Programming, Recursion, Immutable Data Types, Higher-Order Function, Laziness, Type Class, Referential Transparency, Reactive Programming, Data Structure, ",4.7,6835,4704,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0004110614,2
Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,"Launch Your Career in Data Science. Learn the fundamentals of database concepts in a cloud environment, get basic skilling in cloud data services, and build their foundational knowledge of cloud data services within Microsoft Azure.",https://www.coursera.org/specializations/microsoft-azure-dp-900-data-fundamentals,Data Science,Data Analysis,"Describe how to work with relational data on Azure, Describe core data concepts, Describe how to work with non-relational data on Azure, Describe an analytics workload on Azure, Microsoft Azure, Data Management, Data Storage, Data Concepts, Database (DBMS), NoSQL, SQL, Relational Data, ",4.7,394,2688,2,"data science, data analysis","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]",2.36954e-05,0
Business Strategies for A Better World Specialization,Develop Business Strategies for Social Impact. Learn the skills you need to help your purpose-driven business thrive,https://www.coursera.org/specializations/wharton-global-business-strategy,Business,Leadership and Management,"Social Return On Investment (SROI), Corruption, Social Entrepreneurship, Socially Responsible Investing, Global Financial Crisis, Trend Analysis, Economy, Trading, Strategic Management, ",4.7,1463,2688,2,"business, leadership and management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]",8.79858e-05,3
Machine Learning on Google Cloud Specialization,Learn machine learning with Google Cloud. Real-world experimentation with end-to-end ML,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp,Data Science,Machine Learning,"Vertex AI, Machine Learning, Feature Engineering, Tensorflow, Cloud Computing, Application Programming Interfaces (API), Inclusive ML, Google Cloud Platform, Bigquery, Data Cleansing, Python Programming, Build Input Data Pipeline, ",4.6,8391,2688,2,"data science, machine learning","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1]",0.0005046402,0
Integrative Health and Medicine Specialization,Launch your career in integrative health. Incorporate complementary therapies in clinical practice to improve outcomes and promote wellbeing.,https://www.coursera.org/specializations/integrative-health-and-medicine,Health,Patient Care,"wellbeing, patient-centered care, improved symptom management, integrative medicine, evidence-based practice, Evidence-Based Practices, complementary therapies, integrative nursing, symptom management, healthcare, Stress Management, Pain Management, ",4.8,1026,4704,2,"health, patient care","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",6.17043e-05,3
Futures Thinking Specialization,"Ready Yourself for a Changing World. Learn the skills and mindsets of the world’s top futurists, so you can forecast what’s coming, imagine new possibilities, and seize control of your own future.",https://www.coursera.org/specializations/futures-thinking,Business,Business Essentials,"Strategic Foresight, Simulation, Scenario Design, Future Forecasting, Foresight, Creativity, Strategic Thinking, Innovation, Leadership, Scenario Development, Strategic Planning, Gaming, ",4.8,1225,4032,2,"business, business essentials","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]",7.36723e-05,3
Finance for Technical Managers Specialization,Launch your career in financial management. Master tools and techniques to perform a financial analysis.,https://www.coursera.org/specializations/finance-for-technical-managers,Business,Leadership and Management,"Product Cost Analysis, Project valuation, financial statement analysis, Discounted Cash Flow Analysis, Financial Adviser, time value of money, Cost Estimation Techniques, Application to Personal Finances, Project Valuation: NPV IRR and Payback Period, Creating a Compelling Project Business Case, Project Selection Techniques, Risk Management: Scenario and Sensitivity Analysis, ",4.7,33,2688,2,"business, leadership and management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]",1.9846e-06,3
"TESOL Certificate, Part 2: Teach English Now! Specialization","TESOL Certificate Part II: Teach English Now!. Apply principles of language teaching for reading, writing, listening & speaking.  ",https://www.coursera.org/specializations/tesol-certificate-2,Language Learning,Learning English,"Teaching, English Language, Lesson Plan, Speech, Plan, ",4.9,2230,4032,2,"language learning, learning english","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]",0.0001341137,3
Introduction to Discrete Mathematics for Computer Science Specialization,"Learn the language of Computer Science. Learn the math that defines computer science, and practice applying it through mathematical proofs and Python code",https://www.coursera.org/specializations/discrete-mathematics,Computer Science,Algorithms,"Graph Theory, Number Theory, Cryptography, Probability, Mathematical Induction, Proof Theory, Discrete Mathematics, Mathematical Logic, Random Variable, Probability Interpretations, Combinatorics, Modular Exponentiation, ",4.5,2447,4032,2,"computer science, algorithms","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0001471642,2
Core Java Specialization,Learn the Skills Needed to be a Java Programmer. Quickly master the Java programming language and the packages that constitute its rich set of core libraries.,https://www.coursera.org/specializations/core-java,Computer Science,Software Development,"Computer Programming, Java Programming, Web Development, Java Database Connectivity (JDBC), Java Class Library, Object-Oriented Programming (OOP), Crt0, Recursively Enumerable Set, Java Compiler, Javac, Iterator, Linearity, ",4.6,1182,3360,2,"computer science, software development","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",7.10863e-05,2
Engineering Project Management Specialization,Manage Successful Engineering Projects. Master strategies and tools to more effectively and successfully manage projects.,https://www.coursera.org/specializations/engineering-project-management,Business,Leadership and Management,"Planning, Schedule, Earned Value Management (EVMT), Project Management, Procurement, Project Charter, Project Planning, Risk Management Plan, Project Risk Management, ",4.8,2956,2688,2,"business, leadership and management","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]",0.0001777758,3
Bioinformatics Specialization,Journey to the Frontier of Computational Biology. Master bioinformatics software and computational approaches in modern biology. ,https://www.coursera.org/specializations/bioinformatics,Health,Health Informatics,"Whole Genome Sequencing, Viterbi Algorithm, Suffix Tree, Python Programming, Algorithms, Unweighted Pair Group Method with Arithmetic Mean (UPGMA), Bioinformatics, Bioinformatics Algorithms, Dynamic Programming, Graph Theory, ",4.4,985,6048,2,"health, health informatics","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",5.92385e-05,3
Cybersecurity Attack and Defense Fundamentals Specialization,"Learn Ethical Hacking, Network Defense & Forensics. Master foundational skills to pursue a cybersecurity career and help build and maintain a secure infrastructure.",https://www.coursera.org/specializations/cybersecurity-attack-and-defense,Computer Science,Computer Security and Networks,"Cyberattacks, Network Defense, Digital Forensics, Cybersecurity, Ethical Hacking, Ethica Hacking, Network Security, Computer Forensics, ",4.6,88,3360,2,"computer science, computer security and networks","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",5.2924e-06,2
